sentence1,sentence2,label
a man mops a mess outside of his storefront,a shop worker is cleaning a mess left by children,0
a football player in a purple jersey is running the ball in for a touchdown,a football player is running,0
a bearded man wearing a painters cap is playing the xylophone on the side of a busy walkway,a bearded man is playing the saxophone,1
two men playing in tennis match,two men play tennis,0
two white females and a black male are shoveling a large pile of soil,three people are working at the mall,1
person on snow skis airborne over snow with green tree in the background,the woman skis over the snow,0
a man is standing in walkway talking on his cellphone,a man is sleeping in the grass,1
a man on a cliff,the man is lying down,1
the man is wearing a red outfit and red mask stands in front of another man in urban camouflage,a man dressed as a superhero is talking to a hunter whose truck has been stolen,0
a dog playing in some water,the dog was in the water,0
two helmeted police officers on horseback turn back towards the direction of the camera,two police officers on scooters turn back towards the camera,1
two children are riding through snow on a sledlike frame,two children are sledding,0
cyclists await the start of a race,professional cyclist waiting to complete a timed race,0
two people leaning over a fence looking at the water,a couple watches a movie together,1
two men work on top of a tall building on a cloudy day,men are working on a building,0
a young man runs with goggles above his eyes and a bungee cord tethered to him as a man on a bicycle with a white helmet laughs,two friends are having fun together,0
a little boy is standing on the beach with a blue bucket and a green shovel while looking at the water,a child is wearing a red bathing suit,0
these two women is at giorgios having fun,the two women are having fun,0
white dove glides above water,some birds are gliding back home,0
a man on machine talking to a guy dressed in a crazy outfit,two men are having a heated argument,0
black people are trying to fill out papers,people are filling out job applications,0
a young girl is wearing a red coat and has her finger in her mouth,a girl appears bored in the lecture hall,0
a middleaged gentleman is sitting in a small booth with a table full of different types and sizes of fish,a middleaged man is getitng ready to eat fish,0
a person and a black dog are walking through the snow,a person and a white dog walk on a sunny day,1
a lady in a sexy red dress walks in front of a crowd of men,a man in blue walks past a crowd of women,1
a group of people are watching a group of boys in football gear,th boys are wearing track gear,1
two men are walking together down the street while a third eats on a nearby bench in front of a restaurant counter,there are eight men walking,1
two women have a seat in a busy metropolitan area,a man and a woman stand to the side of a crowded city street,1
one bald man is putting on a tie which matches his buttondown shirt while looking into the mirror,the bald man is in a meeting,1
with white headphones a bearded young man in a yellow and black outfit rides a bike for selektmail,a make rides in a car,1
three dogs at the park,there are a few dogs outside,0
a guy riding a bike on a track,a girl riding a bike on a track,1
rescue workers surrounding an overturned red car,there has been an auto accident,0
a young woman with silly green glasses on and a confused look on her face sits at a table under a tree,the woman has green clases,0
a little girl dressed in white is playing with water,a little girl dressed in a white dress,0
the girl is playing with her dog in her driveway,the girl is playing with the dog on her bed,1
a black dog and a brown dog touching noses in a grassy field,two dogs touching noses because they are in love,0
people in yellow shirts ride smile as they ride exercise bikes,people are riding excercise bikes in an air conditioned warehouse,0
a large group of men in scottish outfits are playing bagpipes,only one man is dressed in a scottish outfit,1
a boy with a dirty face smiles,the boy is smiling because he had fish sticks for lunch,0
a man rollerblades across a yellow pole at night,a man is sleeping at his cubicle at work,1
a gentleman walking in the street,a gentleman waits on the sidewalk,1
people are sitting at a green table set with placemats and green glasses,people are sitting at a table,0
people riding on motorcycles in the street,people are riding their scooters in the street,1
a baseball player running to the base as another players tags him out,a player is sleeping on a street,1
a woman is in a liquor store,a woman is in an electronics store,1
a person is doing a trick on a wakeboard,person on a wakeboard,0
someone wearing rubber gloves cleans dishes in a metal sink,someone cooking pasta,1
a player from the white and green highschool team dribbles down court defended by a player from the other team,no one is dribbling,1
a young asian boy is coloring with crayons,a young boy is coloring in a coloring book,0
a middleaged woman cooking in her home,a woman cooks in her home,0
this is a night view of a city street with people and traffic,this is a night view with dogs and traffic,1
an elderly woman looks at a bag of fruit while others look on,a car drives into a lake,1
a large green fish jumps out of the water,man eats cucumber,1
a man in a khaki colored uniform carries a brunette woman in white clothing on his shoulder,a man carries a woman,0
the dog in the red vest runs in the field,a dog runs in a field because he or she hates their red vest,0
a small child trying to roll a ball to hit another ball in a bowling alley,a child is playing a game,0
a man screws into a piece of wood while another man helps and a third works in the background,three men are helping to build a house,0
three men and a woman caught midair jumping into a pool at a party,three men and a woman watching tv,1
a man wearing a black shirt rides his skateboard along the top of a ledge,a person is doing tricks on a skateboard,0
man on bike using boxing glove on a stick,man is riding his bike with boxing glove,0
a man with short hair is apprehended and restrained on a street,man sitting on the sidewalk,1
three men wearing orange and green cleaning uniforms sit on a bench behind their cleaning carts which have their broom handles showing,three cleaners are sitting on a bench behind their carts,0
a small fluffy gray dog is in the green grass,there is an animal outside in the grass,0
a young woman in black enjoys a bite to eat,the young woman had a birthday yesterday,0
a happy young boy has had his body covered with sand while lying on the beach,the boy has been swimming,0
the lady is performing martial arts in front of a crowd,the lady is resting at the gym,1
a coach for a game listens to his headphones and watches the game,an attentive coach at a game,0
the man with long hair is walking along a storm drain,a man sits in a coffee shop,1
a man is leaning on his knee taking a photograph on a gold course with a large group of people standing in an area behind him,every wife had seven sacks,1
a baby gives a woman an opportunity to engage in its world,a baby gives a woman an opportunity to engage in its world,0
a hostess in a restaurant wearing a uniform and a black hat is cleaning one of the tables,a broke person works for tips,0
a darkhaired male and blondhaired female dancing with others in a large room,the man and woman are sitting alone in the room,1
a man wearing a gray jacket acts like he is kissing a sculpture of a lizard,a woman receives a text,1
a young boy wearing a red uniform lines up to kick a soccer ball,a young male is playing a sport,0
a surfer makes a big splash,the surfer is in a desert,1
two men in orange vests are riding an escalator,two guys on moving stairs,0
a group of young adults gathers around on the floor to play a complex board game,a group of young adults play cards at a table,1
a man in a fluorescent orange vest and hard hat stands at the top of a yellow ladder fixing a telephone wire,a man in a hard hat and orange vest sits in a truck at a job site,1
a climber ascending a mountain,the person is walking downhill,1
a teenage couple taking walk in fall,the couple fall into a sewer drain,0
a paraglider soars near a cliff and over a body of water,the paraglider is standing on the ground,1
a woman with a knit cap on is smiling near a dominos pizza sign,the woman is cooking dinner in her kitchen,1
two men are sitting by themselves in a cafe,nobody is sitting,1
a child is riding a green bike and wearing an orange shirt and red helmet,a girl is kicking a ball,1
a crowd of people watching a band play music on the sidewalk,the band is playing in front of a wedding,0
an asian man reading a piece of paper into a microphone with an asian lady in a light blue jacket standing next to him looking at a folder,a tall human reading,0
a man jumps up into the air with hands stretched high above himself with a canyon in the background,man jumping with his hands up and a canyon in the background,0
a person with brown pants is sitting around a fenced area that has sparks flying,a person is loitering around a no trespass electrical fence,0
someone puts poultry on a grill,a person is placing meat on a grill,0
a man sleeping with a bag on his lap on public transportation,a tired man is traveling to work,0
two ladies are looking at jewelry,two ladies contemplating a purchase,0
a crowd gathers at a huge monumental building,many people are around a large building,0
two boys try to attach fruits to a bicycle on a dirt road,two boys are not hungry,0
a woman is lying in a hospital bed,the woman is in the hospital,0
this womens husband is trying to be funny and making her day a lot better after their vehicle breaking down,a man and woman are pushing their car down the road,0
blond caucasian male in black tshirt and cargo shorts holding a professional digital camera taking pictures,a man sits on a bench painting the scene before him,1
a woman in a black dress is pushing a cart with thermos down a paved walkway,a woman in a black dress is pushing her car out of the mud,1
a man standing on a table filming with people surrounding him,a woman sits in a chair with a large camera,1
a man pushing a cart near the subway,the man is riding a bicycle,1
a man plays guitar in an outside theater,a man is performing outside,0
lots of people are standing on a field with trees surrounding it and a white house in the background,a crowd of protesters stand on a field,0
some children are playing in a woodland stream,children are playing,0
people running in a marathon,people are watching television in a bar,1
a man in a coat who is presenting some slides with graph data,a man giving a presentation,0
two woman and a man are walking on a rock path with a baby who is riding in a red stroller,the people are sitting indoors,1
an asian woman and her daughter sitting by a tree on a sidewalk,there are no trees outside,1
a woman in a blue dress is taking a picture of a statue,the woman in blue is skydiving,1
through windows into a building we see on one floor people eating at a nice restaurant while on the floor below we see a working man looking out at us from where he kneels between shelves and boxes,we see people eating at a pizza restaurant,0
a busy oriental street with a camera on a poll,a street with a camera,0
someone walking down a path in the woods,someone is trekking through the woods looking for deer to shoot,0
a skateboarder in a white tshirt and blue cap rolls down the street,a skateboarder in a black shirt rolls down the street,1
a group of people sitting in lawn chairs having conversation,a group of friends are socializing in lawn chairs,0
two men sitting at a counter smiling,the men are crying,1
a man in a canoe throws a fishing net out into the water,a male is cooking fish he caught,1
a man is buying his vegetables in the market,a man is buying twinkies,1
an adult in brightly colored clothing and hat is weaving or beading while sitting on brightly colored rugs,adult doing crafts on the floor,0
the two children one with a scarf tied around their forehead walk down a modeling runway,the child is in bed asleep,1
a blond woman is on the street hailing a taxi,the lady needs a ride,0
an elderly person is crouched down and holding a cane,a person is hurting,0
a woman plays volleyball,a person playing with a ball,0
4 guys in army fatigue walking down street,four men running down the street,1
two asian males smile while celebrating a birthday with a layered chocolate cake with a sparkling candle,two men are attending a celebration,0
four police officers dressed in riot gear are maintaining a crowd that includes a man dressed as a clown,four male police officers on police horses maintaining a riot,0
the little footballer takes the field,the footballer is sitting down,1
a girl in a green striped bikini sunbathing on a brown blanket on a concrete embankment,girl is in the pool swimming,1
a woman rides a horse near a frozen lake in the winter time,a woman is riding a camel through the desert,1
a school in a foreign country with the british flag,a school in britain proudly displays its national flag,0
a man is flying through the air hanging from a paraglider while others are waterskiing,people are waterskiing below a man who is paragliding,0
a man is sitting outside writing something on a pad of paper,someone is playing chess,1
an older person crouches down to watch television in a shop,the older person is walking down the street,1
two woman stop and talk in the downtown area,tow women are talking,0
these dogs appear to be howling outdoors in the snow,dogs are sleeping curled up by the fire inside a cottage,1
man in bright yellow vest displays bicycle safety information on street,a man holds a bike safety sign,0
a male wearing a blue shirt is holding a cup in hand while staring at the camera,a man is holding a cup,0
a young boy walking through the water with a net with waves behind him,a man is in a forest,1
a young woman is sitting on the couch holding a black and white cat,there is a young woman impatiently sitting on the couch,0
a man and a woman are walking away from bicycles while walking two brown dogs with shop buildings in the background,two dogs are being walked in a field with no buildings in sight,1
a dog in the snow,a puppy is playing in the snow,0
a man holding a womans hand and walking with her,two people are walking,0
baby in a rolling harness in the grass,the man is playing in the field,1
metal supports make a repeating x shape along the walls of the station,the station walls have nothing along the front of them,1
a group of four enjoy the blue water on their jet skis,the people are a family,0
a man in a white shirt is climbing a wall while another man watches,the man is watching the other man fall to his death,1
woman standing in an alley in a blue jacket,there is one woman in this picture,0
a man in a bright pastel blue overcoat plays a unique instrument by the corner of a building with a sign propped against a bag in front of him,a man plays an instrument,0
five men in jeans play in a band on a stage with a brightly colored backdrop,five men in shorts play soccer in an empty stadium,1
three girls are walking along the sidewalk together and the one in the middle is bouncing a basketball,there are three humans on cement,0
a man walks by a building with many signs outside,a guy walks next to a building,0
a group of runners is trying to complete a race,a group of runners are cooking,1
a woman mixing something in her bowl looking in a book and stretching her leg,a woman is running a marathon,1
two men on a dock preparing freshly caught fish,two men clean fish they caught,0
a little boy is surrounded by many pigeons,a little boy is at the zoo,0
a grinning man is lifting his glass,a man holds up a glass,0
a boy standing in water doing a kick,a person is doing a kick in warm water,0
a baseball player wearing a houston uniform is about to throw a baseball in a stadium while spectators watch,a baseball player goes for a swim in the ocean,1
a girl in a short vneck blue dress and high heel sandals is carrying a bouquet of calla lilies down and aisle with a man in a tuxedo,the girl walked down the aisle with the man,0
this man is selling the road signs,the man is selling soccer balls,1
a guy on a bmx bike is in midair over a dirt road in a forest after having gone off of a jump,a guy doing tricks on a bike while taking part in a competition for cash prizes,0
a woman in a white dress is posing in a kitchen next to a counter full of dishes of food,the child is driving the car,1
a man is putting up an advertisement on a window,the man is the owner of the store,0
a formation on a big field with people wearing red white and blue,some people are wearing certain colors on a field,0
woman on a fitness machine in an untidy house,a woman is to preoccupied to clean the house,0
one dog on the ground and another dog standing above it,two dogs lay sleeping on the grass,1
a female soccer player throws the ball into play,a girl is eating cookies,1
a construction worker in a neon vest is working with electrical equipment while sparks fly,the construction worker has put his equipment down and is taking a break,1
a african american stands by his car,a black guy is about to steal a car,0
many people are jogging along the street by a green fence,people are sitting3,1
the man in the background is grilling food while the man in the foreground is talking to the camera,a man films himself and his friend as they prepare for their tailgate party,0
a young man is riding a very small bike in the city,a man is dodging traffic as he rides his bike through the city,0
a man in a black shirt and cap playing piano,a musician in a black shirt and tie is playing the piano,0
wearing a brown jacket multicolored scarf and purse an adult female walks along a sidewalk while looking downward next to a green pole with plastic wrapped around it,a woman with a purse walks down the street,0
a darkheaded boy is eating a large red popsicle,the boy is eating sushi,1
a young couple smiling at each other,the couple is in love,0
a full modern ensemble concert entertains an audience with about ten members on stage and the audience shown applauding and a woman in the audience has a bluegreen scarf covering her head,the ensemble is playing music,0
people gathered on a lawn conversing with one another,a guy is home alone and watching television,1
two men in a karate match third man holding up hand of winner,the three men were watching wrestling together while eating cheetos on the couch,1
some workers work in a shop,people are working,0
two little blond girls are sitting on a white chair,two blond girls sit on a blue chair,1
a young artist paints a picture of several people kayaking in the lake,the photographer takes a picture of the beach,1
a man drinking a soda is standing in front of a bench near a group of people sitting,a man sips a beverage beside a bunch of people,0
a young boy is asleep at a table with his face on a plate,young girl sleeping on couch,1
avid bikers riding indoors,a biker rides down a mountain road,1
there are two people grilling food near a body of water,two people prepearing food,0
a man wearing red is driving an old fire engine,a male is driving a vehicle,0
a white male is telling a story while using hand gestures to a white female,the man is talking,0
a man is jumping over some gymnastics equipment,a man jumping,0
a man in a hat is using a tool to fix a shoe,a man jumps off a cliff into water,1
people in matching shirts are rowing boats while others are on a path with trees,people in matching shirts are rowing boats in a competition,0
a mountain climber has reached the top of a brown rock,the mountain climber reached the top of the mountain,0
a woman sits on a gray bench beside a bottle,a woman sits on a bench drinking while watching a parade,0
a man holding onto ropes while boogie boarding,a man is swimming,1
man in all black posing in a dancers pose as another person begins to run in front of the scene,a woman is directing a group,1
two mountain climbers are smiling on the mountainside,two mountain climbers are outdoors,0
two men push a boat into water,two men are flying a plane,1
a surfer riding a wave in the ocean,the surfer is competing in a competition,0
while the man waits for a train he is reading a book,a human entertaining himself,0
two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff,they are on top of a snowy mountain with arms raised,1
two men congratulate each other after an event,two women congratulate each other after an event,1
a man dressed in an indian costume plays the drums,the man is nude,1
a shirtless man with a dog next to him talking to a shirtless girl slouching on a bench,the girl is hurt,0
a man and a dog are in a pool together,a man is swimming with his cat,1
a stage with a large screen and a crowd of around 100 people,there is a large screen on the stage,0
a young woman is sitting on outdoor steps while playing a white accordion in front of a toddler,nobody is sitting,1
a man sitting on a green bench talking on the telephone,a man is talking on his phone in the park,0
black bird flying with a leafy branch in its mouth,the cat eats the bird,1
an old man walks out of a building,a old guy is walking away,0
kids washing and playing in the sink with water sprayer,children playing with the water at the kitchen sink,0
woman with blondhair and glasses using a soldering iron,a woman is soldering a circuit board with a soldering iron,0
a girl rappels off of a boulder during a winter climb while an older man belays her from above,a reckless child climbs down while her instructor berates her,0
a woman is walking her baby with a stroller at the local park,the man and his friend are at the game,1
a man wearing a black shirt and gray pants is in a large grocery store pushing a shopping basket in front of a candy isle,the man is getting groceries,0
a man playing a keyboard he has a beard and is wearing a red green and black flannel shirt,a man practices the guitar,1
a woman with short gray hair in a white blouse leans over a gravestone,the woman is drinking scotch at the bar,1
hundreds of people are participating in the race for the cure,many participants wearing accessories related to their personal commitment,0
a whitehaired man walking dog stopped at a lamp post,the mans dog is sniffing the post,0
a goggled boy leaps from the edge into a shimmering pool with someone watching on in the background,a girl jumps in a pool with her clothes on,1
a woman wearing a scarf is talking to a man wearing glasses,a woman is wearing a white scarf,0
a young woman having a limoncello drink with friends,a woman having drinks with friends,0
a woman sites on a stone bench while reading a blue book,a man is playing volleyball,1
two young boys playing soccer leaping in midair as they vie for the ball,boys are in english class,1
a little girl is holding flowers in her right hand while examining others in her left hand,a boy is playing in the dirt,1
a woman in a striped shirt points to something with her blue umbrella,a woman is holding a blue umbrella,0
the reflection of a young couple in a train window with onlookers and a old asian man sitting on the bench,a couple is reflected in a window,0
two guys play soccer and look exhausted,two soccer players compete in the last minute of a close game,0
a little boy sitting among others in crowd with a curious look upon his face,a little boy is confused by all the people around him,0
a young blondhaired boy wearing a striped shirt attempting to lift a large pumpkin from the pumpkin patch,a boy is decorating a christmas tree,1
a brown and white dog running out of the woods through snow,two animals running,0
two men with backpacks hiking by a large tree,two ladies are hiking by a large tree,1
a man is wearing jacket is in the hole,a man with a jacket is in a hole,0
a muslim woman in glasses wearing a red shirt and purple burka stands with her back to the camera leaning against a wall,the woman is swimming with sharks,1
a man on the left speaks into a microphone while a man on the right plays an unidentified instrument with a drum set in the background,a man on the left is silent,1
two men performing construction work,the men sat and chatted,1
a bicycle racer slides down the hill toward a flag while spectators watch along the tree lined route,someone is riding a unicycle,1
a pretty blondhaired woman is talking to a professionally dressed man on the sidewalk,nobody is talking,1
a ship with a red and white sail is in a body of water,a car with a red and white hood is in a body of water,1
three men are raking a path surrounded by trees,three people surrounded by trees,0
man in black with a feathered hat sits atop a horse,the man is outdoors,0
small children enjoy themselves sledding,the children are enjoying themselves as they perform activities typically associated with hot summer days,1
the dog is sleeping in the vehicle,the dog is in the bathtub,1
blurry picture of mountain biker descending rocky trail,blurry photo of a biker riding through a residential neighborhood,1
a young boy in a gray sweatshirt and brown hat is holding a small american flag above his head,the boy is at a parade for memorial day,0
a woman in blue and red clothing is skating,children skateboarding in abandoned parking lot,1
two women and a man posing for a photograph,the three people are striking a pose,0
the girl is sitting on a white couch with a boy nearby,a girl is sitting on the couch,0
a boy riding a tobaggan down a snowy hill,the sled is red,0
a skateboarder grinds on a cement obstacle,the skateboarder is doing a trick,0
a mom pushes her little girl on the swing,mom helping little girl on the swing,0
one young girl is holding a baseball bat over her shoulder,a dog is playing soccer,1
a white male is wearing jean coat and pant while welding without eye protection,a white male is wearing one of those metal mask things over his face to protect himself while welding,1
two people are looking at a child as one of them is pushing a wheelchair on the sidewalk,someone pushes a wheelchair on the street,1
a person wearing a blue jacket and fur lined hat is sitting on the street holding something that looks like a sandwich in his hand,the person is jump roping,1
a dog wearing a jacket pounces a toy,a dog pounces on a toy,0
a man stands at the bottom of a rock face whist another man climbs up it,two men are practicing mountain climbing,0
four young men and a young woman on her cellphone are in a kitchen together,no one is in the kitchen,1
a man and woman are sitting on a pier in front of a body of water,the woman and man is dancing next to the ocean,1
a kid is making a grimacing face while wrapped up in a towel,the kid is having lunch with his sister,1
three older men playing live music in a grand hall,a trio of older gentlemen play chamber music in a concert hall,0
young male looks on as another male sitting on a fence wraps his legs around a female in a zebra styled tank top and skirt,the girl is happy,0
three men sitting a cement bench and a brick wall behind them,four boys are waiting for their parents on a school bench,1
a child wearing crocs sits on a swing in a wooded area,a barefoot child is sliding down the slide,1
a man carries two bundles on a pole balanced over his shoulder while walking down a staircase in the fog,a man is carrying two bundles,0
a dog fetching a stick,a pack of vicious dogs terrifies the inhabitants of a small neighborhood,1
a man prepares his stand up grill with a large flame,after using a flamethrower to entertain some soldiers this guy douses the grill with ice,1
three bicyclists wearing protective gear while racing down a steep man made slope,three bicyclists are in a race,0
a man squatted down picking up a book,a man bending over to pick up a baseball,1
a tall person with long hair brown sweater white pants and a orange and white tote bag is hugging the girl with brown pant and longsleeved shirt as they walk down the sidewalk,a tall person is all alone,1
a woman in a blue shirt is speaking with two other women and a man who is wearing glasses,a woman is speaking to another two woman and a man,0
little cowboy waiting to ride a large beauty brown and white bull,the cowboy wants to be in the rodeo,0
a young man is smoking a cigarette while holding a maroon guitar,the man is at a bar,0
shoppers look for christmas gifts at harrods department store,the shoppers are locked out of the store,1
a man wearing red pants is balancing on a blue sculpture,the man is outside of a building,0
a little girl plays with a camera tripod while an older woman watches smiling,a little girl and her grandmother,0
two people in red shirts are sitting in a lifeguard chair on a beach with an american flag flying behind them,one person in a blue shirt sits atop a lifeguard chair with a mexican flag flying behind them,1
a man with longer hair is surfing,the man has short hair,1
a view outside lincoln center theater,it is a wonderful view of lincoln center theater,0
a man with a bike jumps high above the concrete,a man in a car is running a red light,1
an army of men wait inside a convoy,men talking in a vehicle,0
a white woman in the field with two llamas,the llamas are the womans pets,0
a group of women are sitting near each other and knitting,a group of women are holding yarn,0
a woman is walking in front of a fastfood restaurant,a woman passes a fast food restaraunt,0
a person is walking wearing a pinkish colored jacket and a toboggan on their head,person is walking home in the cold,0
a small dog lands on a big dog trying to get a disc,the small dog is playing,0
a young child in a blue flowery dress walks along a sidewalk near a gated wall,a young child in a black spandex body suit walks along a sidewalk near a gated wall,1
a woman is walking in the snow next to a taxi,there is a woman in the sand,1
a small baby in a baby swing that has a yellow dress on,a dog chases a cat,1
five teenagers sitting on concrete steps,the teenagers are standing on top of the table,1
a little boy is going down a pulley swing,the boy is little,0
young spots fans are sitting on the ledge of a large fountain,fans are standing at a ledge,1
a baby has fallen asleep in his chair while sitting in front of the laundry machines,the baby fell alseep in the car,1
this man is repairing the pipes,woman baking a cake,1
a woman sailing looks like she is having a hard time,a woman is having a hard time sailing,0
a man in a yellow shirt and blue pants balances himself on a log behind another man in a light blue shirt and shorts that are light blue and yellow that is also balancing himself,two men dance on a building at night,1
a man in camouflage and a helmet holds a machine gun,a man with a helmet is holding a weapon,0
a man on top of a ladder next to a tree while the person in blue is looking at the man below the ladder,a man on top of a ladder joyously next to a tree,0
a woman with gray slacks blue shirt and sneakers is sitting in a chair writing on a pad,a woman is writing on a pad,0
two musicians playing their instruments for an audience,two people are playing instruments for others at a festival,0
little boy in a red hat aiming a camera,a child is taking a selfie,0
there are 4 people in the snow at night wearing bathing suits standing and walking near a small building with a light on,the 4 people were walking together to get somewhere at night,0
a man on a cellphone by the fountain,the man is on a cellphone,0
three people drinking and having a good time,people watching a movie,1
a woman in a skirt and cowboy hat and a woman in pink pants with an exposed midriff are walking down the street looking at the shops,the woman was short,0
a young man with no shirt on is wearing black pants and sneakers is jumping over a blue skateboard,a young man goes shirtless,0
an old man sells his products in a historical place,the man is buried in grants tomb,1
there is a large building in the background and there are lots of people and some of them are setting up cots with blankets on them,people do not have blankets in front of the building,1
a little girl in a striped bathing suit jumps in a large body of water,a girl sits in her classroom daydreaming,1
a baseball player wearing a blue shirt runs toward the home plate as the opposing teams catcher tags him the catchers face mask flies away of the third base foul line and the catchers teammate covers the home plate,a basketball player dribbles the ball past the opposing team and his teammate waves his arms in the air for a pass,1
a man skateboarding up a ramp,the man is watching tv,1
two baseball players talk one is sitting the other is standing,the players wont respond,1
a group of people restrained by fencing wait at the entrance to a tent there are signs at the entrance that read tent closed,some people are getting ready to go swimming,1
three men are talking in front of old stairs on the street,people talking outside,0
a woman in a bikini enjoying a day at the beach by the ocean,a person in a swimsuit is at the seashore,0
two children are looking at something exciting that an adult is showing them,two kids are interacting with an older person,0
a man adjusting a paper lantern display,the man was adjusting a paper latern display as it was bent,0
two men standing on a sleek racing boat,there are men standing on a sleek boat racing on the ocean,0
the children are playing a game with a volleyball net and a football on the beach,the children are quietly reading,1
there are two motorcycles with a man and a woman on it,a male and female ride motorcycles,0
a group of men look down while one looks up,the the men are outside,0
two men playing hockey on the ice,two men are playing hockey,0
a person walking on the snow by a mountain carrying a walking stick,the person is swiming,1
a naked baby and toddler on the floor covered in paint the toddler putting her hands on the babys head,the architect dropped his blueprints in the street,1
a boys soccer team coach talking to his team on a soccer field,the coach is in a car,1
a group of women walk down the street all carrying open umbrellas to protect them from the rain coming down from the sky,women walk down the beach on a sunny day,1
three young women goofing off at a bar,three young women at a bar,0
two young girls hug,the girls are fighting each other,1
a standing woman is reflected in a shiny surface,a child is looking in a mirror,1
a man on a bike nest to a river,the bike is red,0
a man in a white button down shirt is laughing,the man is wearing a tshirt,1
a very young boy is sitting in a swing in a park smiling and posing with his arms above him grabbing the swing cables,there is a child on playground equipment,0
a woman talking on a cellphone with a man and child,a woman lost her cellphone,1
a young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor,an older child is playing with a doll while gazing out the window,1
silhouette of two people holding hands,an outline of two people pushing one another,1
three individuals are sitting in the room together one playing a red guitar and the other two sitting on the bench,three band members are sitting while one of them is playing guitar,0
a group of women wearing pink signs are standing in a park,some humans standing,0
a heavy machine lifting up a worker,a machine is turned out,0
boys and girls in black uniform holding bamboo sticks in a parade,boys and girls in red uniforms are playing outdoors,1
two women are writing on a sheet,two women are writing on a sheet of paper,0
a man fishes near some white waves,a man is fishing,0
a girl in pink coat and black dress is walking confidently,the girl is asian,0
a family talks while lounging at a rocky beach with calm waters,people are eating lunch,1
two female traffic police officers peer down a cobblestoned street,the female officers change after work,1
a man is kayaking and has encountered a rough wave,a man is eating in hotel,1
a man in a white tank top and baggy black and white shorts kicks a black punching bag,the man is a boxer,0
a group of children on the frog hopper ride at a fair,three girls are playing monopoly,1
a black and brown dog running outside,a dog sits down patiently waiting for a treat,1
a man in a business suite and green tie walking down a downtown street with a janitor pushing a trashcan behind him,the janitor is pushing a load of boxes on a dolly,1
two indian women in saris work inside a factory,the women are working at sewing machines,0
two children a boy in a blue shorts suit and a girl in a blue jumper have a conversation in the hallway of a church,two children are silent,1
a little naked child is standing by the water,a person standing next to the door,1
a man is rock climbing high in the air,the rock climber has a rope,0
these are women members of a musical symphony dressed in black and carrying red flags outside an ornate building,the ladies are carrying a tuba,0
two motorcycles racers make sharp right turn on the racetrack,two motorcyle racers have just come to a complete stop,1
two people on a surfboard in the water,two people are at the beach,0
a woman is holding a black sign at a street rally,the woman is eating the flowers,1
a man is riding an atv through the desert,a man sits next to his go cart in the jungle,1
a man wearing dark sunglasses is jumping his bike over a road in a forest,a man sleeps on a bench,1
girls wearing costumes stand around one smiles,girls give each other makeovers,1
a little girl and a little boy are facing each other,the children are playing rockscissorspaper,0
two young children playing with big wheels in an urban area,two children are taking naps,1
two women carrying grain on their head,two women are taking grain to the market,0
marathon runners passing by spectators with the runner in pink getting splashed by water,it is a hot day for a race,0
a little kid in a black shirt and striped pants is playing with the controls on a stove,a boy plays with a radio,1
